BR,PRODUCT,TYPE,ARGNO,DEALNO,SEQ,GLNO,COSTCENT,CCY,BEIND,CODE,QUAL,EFFDATE,POSTDATE,CMNE,DRCRIND,AMOUNT,SMEANS,SACCT,DESCR,DWH_ENTRY_DATE
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,13/10/2025,13/10/2025,HMGGBLDN  ,CR,1425,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,14/10/2025,14/10/2025,HMGGBLDN  ,CR,1425,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,15/10/2025,15/10/2025,HMGGBLDN  ,CR,1425,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,16/10/2025,16/10/2025,HMGGBLDN  ,CR,1426,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,17/10/2025,17/10/2025,HMGGBLDN  ,CR,4277,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,20/10/2025,20/10/2025,HMGGBLDN  ,CR,1426,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,21/10/2025,21/10/2025,HMGGBLDN  ,CR,1426,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,23/10/2025,23/10/2025,HMGGBLDN  ,CR,1427,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,24/10/2025,24/10/2025,HMGGBLDN  ,CR,4281,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,27/10/2025,27/10/2025,HMGGBLDN  ,CR,1427,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,28/10/2025,28/10/2025,HMGGBLDN  ,CR,1427,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,29/10/2025,29/10/2025,HMGGBLDN  ,CR,1428,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,30/10/2025,30/10/2025,HMGGBLDN  ,CR,1428,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
